t,psi
166.0,-7.959728516670102e-06
166.5,-8.014625061908116e-06
167.0,-7.780944078415406e-06
167.5,-7.291483720146533e-06
168.0,-6.585259763825096e-06
168.5,-5.705603271135515e-06
169.0,-4.698268008210556e-06
169.5,-3.6096134286608968e-06
170.0,-2.4849207820991633e-06
170.5,-1.3668903255237818e-06
171.0,-2.943571611517009e-07
171.5,6.987476699060099e-07
172.0,1.5841750930009016e-06
172.5,2.339869711209242e-06
173.0,2.950219919387781e-06
173.5,3.406059860541109e-06
174.0,3.7044442425959066e-06
174.5,3.848223255426725e-06
175.0,3.845449550189609e-06
175.5,3.7086524360341863e-06
176.0,3.4540161393072647e-06
176.5,3.10049921290009e-06
177.0,2.668931113597793e-06
177.5,2.1811196921848836e-06
178.0,1.65900009841686e-06
178.5,1.1238515519485135e-06
179.0,5.956037895218486e-07
179.5,9.224998265723503e-08
180.0,-3.706222470052936e-07
180.5,-7.801752390742562e-07
181.0,-1.1265395978825e-06
181.5,-1.402909418815753e-06
182.0,-1.6055215460476273e-06
182.5,-1.733529449908324e-06
183.0,-1.7887851215694211e-06
183.5,-1.7755444882420877e-06
184.0,-1.700113219099125e-06
184.5,-1.570450460917392e-06
185.0,-1.395748035421893e-06
185.5,-1.186002000630777e-06
186.0,-9.515923113342277e-07
186.5,-7.02884690748141e-07
187.0,-4.498668484162446e-07
187.5,-2.0182892889059612e-07
188.0,3.290431504332747e-08
188.5,2.47184583787334e-07
189.0,4.3519173099026944e-07
189.5,5.925257991240536e-07
190.0,7.162412224162675e-07
190.5,8.048269122708414e-07
191.0,8.581375211227475e-07
191.5,8.772824605940235e-07
192.0,8.644801702040168e-07
192.5,8.228857213512071e-07
193.0,7.564000945423172e-07
193.5,6.694694049209629e-07
194.0,5.66881998286457e-07
194.5,4.535707436171471e-07
195.0,3.3442704460321524e-07
195.5,2.1413211703079055e-07
196.0,9.701001553610732e-08
196.5,-1.3094275675394295e-08
197.0,-1.1290951495461078e-07
197.5,-1.998046277130004e-07
