L_over_rs,posterior,delta_f_over_f,delta_tau_over_tau
0.032,12.483826788626914,0.00212879195076483,0.005048423567601988
0.0325,12.484848714912541,0.002133259877524305,0.005071944089388403
0.033,12.48587049244714,0.0021377278042837805,0.005095465712072957
0.0335,12.486892121165646,0.002142195731043404,0.005118988435732687
0.034,12.48791360100296,0.0021466636578028795,0.005142512260445098
0.0345,12.48893493189404,0.002151131584562503,0.005166037186287384
0.035,12.489956113773761,0.0021555995113219785,0.005189563213336579
0.035500000000000004,12.490977146577075,0.002160067438081454,0.005213090341670666
0.036000000000000004,12.491998030238905,0.0021645353648410775,0.005236618571366519
0.0365,12.493018764694131,0.002169003291600553,0.0052601479025014925
0.037,12.4940393498777,0.0021734712183601765,0.005283678335153091
0.0375,12.495059785724482,0.0021779391451196514,0.005307209869398667
0.038,12.496080072169395,0.0021824070718791267,0.005330742505315254
0.0385,12.497100209147366,0.0021868749986387504,0.005354276242980677
0.039,12.49812019659325,0.0021913429253982257,0.00537781108247197
0.0395,12.499140034441986,0.0021958108521578494,0.00540134702386664
0.04,12.500159722628428,0.0022002787789173247,0.005424884067242197
0.0405,12.501179261087483,0.0022047467056768,0.0054484222126756745
0.041,12.502198649754064,0.0022092146324364237,0.005471961460245056
0.0415,12.50321788856301,0.002213682559195899,0.005495501810027215
0.042,12.504236977449246,0.0022181504859555227,0.005519043262099821
0.0425,12.505255916347611,0.002222618412714998,0.005542585816540223
0.043000000000000003,12.506274705193006,0.002227086339474473,0.005566129473425928
0.043500000000000004,12.507293343920313,0.002231554266234097,0.00558967423283413
0.044,12.508311832464377,0.002236022192993572,0.005613220094842652
0.0445,12.509330170760098,0.0022404901197531956,0.0056367670595286875
0.045,12.510348358742311,0.002244958046512671,0.0056603151269699024
0.0455,12.511366396345888,0.0022494259732721462,0.005683864297243488
0.046,12.512384283505712,0.00225389390003177,0.005707414570427111
0.0465,12.513402020156605,0.0022583618267912452,0.005730965946598122
0.047,12.514419606233464,0.002262829753550869,0.005754518425834345
0.0475,12.515437041671094,0.0022672976803103442,0.0057780720082128145
0.048,12.51645432640437,0.0022717656070698196,0.0058016266938113546
0.0485,12.517471460368155,0.0022762335338294432,0.005825182482707472
0.049,12.518488443497255,0.0022807014605889186,0.005848739374978361
0.0495,12.519505275726551,0.0022851693873485422,0.005872297370701845
0.05,12.520521956990844,0.002289637314108017,0.005895856469955433
0.0505,12.521538487224994,0.0022941052408674925,0.005919416672816789
0.051000000000000004,12.522554866363842,0.002298573167627116,0.005942977979363107
0.051500000000000004,12.523571094342191,0.0023030410943865915,0.00596654038967221
0.052000000000000005,12.524587171094902,0.002307509021146215,0.005990103903821448
0.0525,12.525603096556766,0.0023119769479056904,0.0060136685218886475
0.053,12.526618870662622,0.002316444874665166,0.006037234243951156
0.0535,12.527634493347312,0.0023209128014247894,0.0060608010700867986
0.054,12.528649964545618,0.0023253807281842648,0.0060843690003730844
0.0545,12.529665284192381,0.0023298486549438884,0.006107938034887204
0.055,12.530680452222391,0.0023343165817033638,0.0061315081737074555
0.0555,12.531695468570469,0.0023387845084628387,0.0061550794169110325
0.056,12.532710333171444,0.0023432524352224628,0.006178651764575757
0.0565,12.533725045960077,0.0023477203619819377,0.0062022252167789815
0.057,12.534739606871215,0.0023521882887415613,0.006225799773598686
0.0575,12.535754015839611,0.0023566562155010367,0.006249375435112064
0.058,12.536768272800089,0.002361124142260512,0.006272952201397096
0.0585,12.537782377687464,0.0023655920690201357,0.006296530072531608
0.059000000000000004,12.538796330436478,0.002370059995779611,0.00632010904859279
0.059500000000000004,12.53981013098197,0.0023745279225392346,0.006343689129658784
0.06,12.540823779258677,0.00237899584929871,0.0063672703158066234
0.0605,12.541837275201415,0.0023834637760581853,0.006390852607114764
0.061,12.542850618744978,0.002387931702817809,0.006414436003660555
0.0615,12.543863809824105,0.0023923996295772843,0.006438020505521664
0.062,12.54487684837361,0.002396867556336908,0.006461606112775756
0.0625,12.545889734328233,0.002401335483096383,0.006485192825500655
0.063,12.546902467622758,0.002405803409855858,0.006508780643773869
0.0635,12.547915048191978,0.002410271336615482,0.006532369567673539
0.064,12.548927475970622,0.002414739263374957,0.006555959597277171
0.0645,12.549939750893486,0.002419207190134581,0.006579550732662434
0.065,12.550951872895295,0.002423675116894056,0.006603142973907149
0.0655,12.551963841910828,0.0024281430436535315,0.006626736321088984
0.066,12.552975657874859,0.002432610970413155,0.0066503307742859195
0.0665,12.553987320722104,0.0024370788971726305,0.006673926333575622
0.067,12.55499883038735,0.002441546823932254,0.006697522999035758
0.0675,12.55601018680531,0.0024460147506917295,0.006721120770744308
0.068,12.557021389910746,0.0024504826774512044,0.00674471964877894
0.0685,12.558032439638422,0.0024549506042108285,0.006768319633217477
0.069,12.55904333592304,0.0024594185309703034,0.006791920724137742
0.0695,12.560054078699382,0.002463886457729927,0.006815522921617718
0.07,12.561064667902137,0.0024683543844894024,0.006839126225734913
0.07050000000000001,12.562075103466064,0.0024728223112488778,0.0068627306365674655
0.07100000000000001,12.563085385325909,0.0024772902380085014,0.006886336154192885
0.07150000000000001,12.564095513416364,0.0024817581647679767,0.006909942778689153
0.07200000000000001,12.565105487672193,0.0024862260915276004,0.006933550510134409
0.0725,12.566115308028083,0.0024906940182870757,0.0069571593486061605
0.073,12.567124974418773,0.002495161945046551,0.006980769294182391
0.0735,12.568134486779,0.0024996298718061747,0.00700438034694108
0.074,12.56914384504344,0.00250409779856565,0.0070279925069597375
0.0745,12.570153049146853,0.0025085657253252737,0.007051605774316818
0.075,12.571162099023903,0.0025130336520847486,0.00707522014908983
0.0755,12.572170994609325,0.002517501578844224,0.0070988356313567555
0.076,12.573179735837838,0.0025219695056038476,0.007122452221195575
0.0765,12.574188322644112,0.002526437432363323,0.007146069918684115
0.077,12.575196754962885,0.0025309053591229466,0.007169688723900196
0.0775,12.576205032728822,0.002535373285882422,0.007193308636922119
0.078,12.577213155876635,0.0025398412126418973,0.007216929657827547
0.0785,12.578221124341036,0.002544309139401521,0.0072405517866944635
0.079,12.579228938056687,0.0025487770661609963,0.007264175023601008
0.0795,12.580236596958303,0.00255324499292062,0.007287799368624687
0.08,12.581244100980545,0.0025577129196800953,0.007311424821843959
